MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
12/18/2022,MEC.PPWIND,Gennode,LMP,13.12,16.58,22.65,24.7,26.85,40.97,44.33,45.82,59.51,62.48,53.06,52.74,58.58,58.82,58.57,59.5,69.62,82.07,77.05,67.66,69.87,68.4,60.55,57.52,2022_Oct-Dec_DA_LMPs.zip
12/19/2022,MEC.PPWIND,Gennode,LMP,58.63,52.2,50.76,50.24,52.22,56.76,64.78,78.0,78.12,76.22,77.67,71.65,68.65,66.11,65.96,72.72,80.32,88.39,94.97,77.8,72.5,68.17,49.74,37.25,2022_Oct-Dec_DA_LMPs.zip
12/20/2022,MEC.PPWIND,Gennode,LMP,37.78,30.48,28.4,25.5,25.54,27.63,34.11,51.16,62.72,70.56,72.07,72.65,70.34,72.18,70.64,72.3,77.38,102.75,97.15,85.47,83.72,82.07,76.72,81.27,2022_Oct-Dec_DA_LMPs.zip
12/21/2022,MEC.PPWIND,Gennode,LMP,83.13,73.22,68.89,66.26,65.57,67.48,75.99,88.34,79.93,74.38,64.9,61.85,60.81,60.81,55.4,52.74,53.38,65.05,60.99,57.06,48.0,32.04,24.6,16.74,2022_Oct-Dec_DA_LMPs.zip
12/22/2022,MEC.PPWIND,Gennode,LMP,17.82,6.23,6.26,1.25,0.71,-4.34,4.8,12.99,21.29,24.84,23.37,18.96,11.4,8.1,8.41,7.34,0.57,13.48,21.16,14.3,8.35,2.1,-0.39,-2.66,2022_Oct-Dec_DA_LMPs.zip
12/23/2022,MEC.PPWIND,Gennode,LMP,3.61,0.02,-3.17,-3.39,-4.87,-5.83,-2.15,1.39,15.69,9.8,5.16,3.18,2.14,-1.21,-2.36,-3.83,-2.41,6.92,17.65,8.48,6.35,1.39,-0.89,-3.1,2022_Oct-Dec_DA_LMPs.zip
12/24/2022,MEC.PPWIND,Gennode,LMP,4.13,-7.53,-10.88,-14.93,-14.7,-17.81,-7.19,-9.36,-4.85,-3.6,-4.81,-1.0,1.15,2.99,3.17,5.21,5.91,17.12,21.5,11.89,10.81,10.84,8.99,14.96,2022_Oct-Dec_DA_LMPs.zip
12/25/2022,MEC.PPWIND,Gennode,LMP,-2.03,-6.59,0.98,1.08,0.43,2.86,22.89,64.93,99.18,133.59,130.99,136.31,117.92,88.79,73.15,64.55,63.18,71.84,77.52,68.35,68.64,66.86,52.66,43.82,2022_Oct-Dec_DA_LMPs.zip
12/26/2022,MEC.PPWIND,Gennode,LMP,95.34,90.09,68.38,67.2,61.82,57.17,44.14,76.44,120.17,119.49,109.77,107.47,119.91,112.77,115.87,123.57,135.12,144.99,166.21,170.82,145.01,113.49,179.9,120.2,2022_Oct-Dec_DA_LMPs.zip
12/27/2022,MEC.PPWIND,Gennode,LMP,45.73,25.55,10.4,4.27,-1.19,-3.8,-4.28,8.2,14.63,11.68,11.32,13.56,13.39,17.68,16.21,16.23,17.81,32.73,41.59,28.35,22.84,16.1,9.95,5.42,2022_Oct-Dec_DA_LMPs.zip
12/28/2022,MEC.PPWIND,Gennode,LMP,-3.5,-4.93,-7.18,-5.12,-4.67,-3.34,0.44,2.81,10.73,12.95,17.29,16.26,19.18,19.19,23.81,25.18,29.63,45.58,48.42,40.9,40.88,32.85,29.2,29.15,2022_Oct-Dec_DA_LMPs.zip
